HistoricalMatchId;Date;GoalsA;GoalsB;Competition;Stage;TeamAId;TeamBId
1;2023-09-07;0;0;2;1;40;52
2;2023-09-07;1;0;2;1;13;49
3;2023-09-07;1;0;2;1;1;24
4;2023-09-08;3;1;2;1;17;54
5;2023-09-08;5;1;2;1;6;77
6;2023-09-12;0;3;2;1;77;1
7;2023-09-12;2;1;2;1;24;17
8;2023-09-12;1;0;2;1;49;40
9;2023-09-12;0;0;2;1;54;13
10;2023-09-12;0;1;2;1;52;6
11;2023-10-12;2;2;2;1;13;17
12;2023-10-12;1;2;2;1;77;24
13;2023-10-12;1;0;2;1;1;40
14;2023-10-12;2;0;2;1;54;52
15;2023-10-12;1;1;2;1;6;49
16;2023-10-17;3;0;2;1;49;54
17;2023-10-17;1;0;2;1;40;77
18;2023-10-17;0;0;2;1;24;13
19;2023-10-17;2;0;2;1;17;6
20;2023-10-17;0;2;2;1;52;1
21;2023-11-16;2;0;2;1;77;52
22;2023-11-16;0;0;2;1;49;24
23;2023-11-16;2;1;2;1;13;6
24;2023-11-16;0;2;2;1;1;17
25;2023-11-16;0;0;2;1;54;40
26;2023-11-21;0;1;2;1;40;13
27;2023-11-21;3;0;2;1;17;77
28;2023-11-21;1;0;2;1;24;54
29;2023-11-21;0;1;2;1;6;1
30;2023-11-21;1;1;2;1;52;49
31;2024-09-05;4;0;2;1;77;49
32;2024-09-05;3;0;2;1;1;54
33;2024-09-06;0;0;2;1;17;40
34;2024-09-06;1;0;2;1;6;24
35;2024-09-06;1;1;2;1;52;13
36;2024-09-10;2;1;2;1;13;1
37;2024-09-10;1;2;2;1;54;77
38;2024-09-10;1;0;2;1;24;52
39;2024-09-10;0;0;2;1;49;17
40;2024-09-10;1;0;2;1;40;6
41;2024-10-10;1;0;2;1;77;13
42;2024-10-10;0;0;2;1;24;40
43;2024-10-10;1;1;2;1;49;1
44;2024-10-10;1;2;2;1;54;6
45;2024-10-11;1;0;2;1;52;17
46;2024-10-15;4;0;2;1;13;54
47;2024-10-15;2;1;2;1;40;49
48;2024-10-15;0;0;2;1;17;24
49;2024-10-15;6;0;2;1;1;77
50;2024-10-15;4;0;2;1;6;52
51;2024-11-14;1;1;2;1;49;6
52;2024-11-14;2;1;2;1;40;1
53;2024-11-14;4;0;2;1;24;77
54;2024-11-15;3;2;2;1;17;13
55;2024-11-15;0;0;2;1;52;54
56;2024-11-19;2;2;2;1;77;40
57;2024-11-19;0;1;2;1;13;24
58;2024-11-19;1;0;2;1;1;52
59;2024-11-19;4;2;2;1;54;49
60;2024-11-19;1;1;2;1;6;17
61;2025-03-20;1;0;2;1;40;54
62;2025-03-20;2;1;2;1;6;13
63;2025-03-20;3;1;2;1;52;77
64;2025-03-21;2;1;2;1;24;49
65;2025-03-21;0;1;2;1;17;1
66;2025-03-25;0;0;2;1;77;17
67;2025-03-25;1;0;2;1;49;52
68;2025-03-25;2;2;2;1;13;40
69;2025-03-25;4;1;2;1;1;6
70;2025-03-25;0;0;2;1;54;24
71;2025-06-05;2;0;2;1;40;17
72;2025-06-05;0;0;2;1;24;6
73;2025-06-05;0;1;2;1;54;1
74;2025-06-06;0;0;2;1;13;52
75;2025-06-06;2;0;2;1;49;77
76;2025-06-10;2;0;2;1;77;54
77;2025-06-10;2;0;2;1;17;49
78;2025-06-10;1;1;2;1;1;13
79;2025-06-10;1;0;2;1;6;40
80;2025-06-10;0;0;2;1;52;24
81;2025-09-04;3;0;2;1;17;52
82;2025-09-04;3;0;2;1;13;77
83;2025-09-04;0;0;2;1;40;24
84;2025-09-04;3;0;2;1;1;49
85;2025-09-04;3;0;2;1;6;54
86;2025-09-09;1;0;2;1;24;1
87;2025-09-09;0;1;2;1;52;40
88;2025-09-09;3;6;2;1;49;13
89;2025-09-09;1;0;2;1;77;6
90;2025-09-09;0;0;2;1;54;17
91;2024-06-20;2;0;3;1;1;30
92;2024-06-21;0;0;3;1;52;54
93;2024-06-25;0;1;3;1;52;30
94;2024-06-25;0;1;3;1;54;1
95;2024-06-29;2;0;3;1;1;52
96;2024-06-29;0;0;3;1;30;54
97;2024-06-22;1;2;3;1;24;49
98;2024-06-22;1;0;3;1;15;71
99;2024-06-26;3;1;3;1;24;71
100;2024-06-26;1;0;3;1;49;15
101;2024-06-30;0;0;3;1;15;24
102;2024-06-30;0;3;3;1;71;49
103;2024-06-23;2;0;3;1;16;77
104;2024-06-23;3;1;3;1;17;34
105;2024-06-27;2;1;3;1;34;16
106;2024-06-27;5;0;3;1;17;77
107;2024-07-01;0;1;3;1;16;17
108;2024-07-01;1;3;3;1;77;34
109;2024-06-24;2;1;3;1;13;40
110;2024-06-24;0;0;3;1;6;51
111;2024-06-28;3;0;3;1;13;51
112;2024-06-28;1;4;3;1;40;6
113;2024-07-02;1;1;3;1;6;13
114;2024-07-02;2;1;3;1;51;40
115;2024-07-04;1;1;3;3;1;24
116;2024-07-05;1;1;3;3;49;30
117;2024-07-06;0;0;3;3;17;6
118;2024-07-06;5;0;3;3;13;34
119;2024-07-09;2;0;3;4;1;30
120;2024-07-10;0;1;3;4;17;13
121;2024-07-13;2;2;3;4;30;17
122;2024-07-14;1;0;3;5;1;13
123;2024-03-10;0;0;2;1;210;205
124;2024-03-10;1;1;2;1;208;209
125;2024-03-15;1;1;2;1;210;205
126;2024-03-15;0;0;2;1;208;209
127;2024-06-05;1;1;2;1;161;167
128;2024-06-06;3;1;2;1;66;164
129;2024-06-08;1;0;2;1;195;161
130;2024-06-09;1;6;2;1;167;66
131;2024-06-09;3;0;2;1;164;195
132;2024-06-05;2;2;2;1;102;163
133;2024-06-06;4;0;2;1;51;152
134;2024-06-08;1;7;2;1;207;102
135;2024-06-09;0;3;2;1;163;51
136;2024-06-11;1;0;2;1;152;207
137;2024-06-05;4;1;2;1;83;179
138;2024-06-06;2;1;2;1;81;168
139;2024-06-08;0;2;2;1;188;83
140;2024-06-09;1;3;2;1;179;81
141;2024-06-11;2;2;2;1;168;188
