WorldCupMatchId;Round;Date;GroupCode;Played;GoalsA;GoalsB;TeamAId;TeamBId
1;1;2026-06-11;A;false;0;0;1;2
2;1;2026-06-11;A;false;0;0;3;4
3;1;2026-06-12;B;false;0;0;5;6
4;1;2026-06-13;B;false;0;0;7;8
5;1;2026-06-13;C;false;0;0;11;12
6;1;2026-06-13;C;false;0;0;9;10
7;1;2026-06-12;D;false;0;0;13;14
8;1;2026-06-13;D;false;0;0;15;16
9;1;2026-06-14;E;false;0;0;17;18
10;1;2026-06-14;E;false;0;0;19;20
11;1;2026-06-14;F;false;0;0;21;22
12;1;2026-06-14;F;false;0;0;23;24
13;1;2026-06-15;G;false;0;0;27;28
14;1;2026-06-15;G;false;0;0;25;26
15;1;2026-06-15;H;false;0;0;31;32
16;1;2026-06-15;H;false;0;0;29;30
17;1;2026-06-16;I;false;0;0;33;34
18;1;2026-06-16;I;false;0;0;35;36
19;1;2026-06-16;J;false;0;0;37;38
20;1;2026-06-16;J;false;0;0;39;40
21;1;2026-06-17;K;false;0;0;43;44
22;1;2026-06-17;K;false;0;0;41;42
23;1;2026-06-17;L;false;0;0;47;48
24;1;2026-06-17;L;false;0;0;45;46
25;2;2026-06-18;A;false;0;0;4;2
26;2;2026-06-18;A;false;0;0;1;3
27;2;2026-06-18;B;false;0;0;8;6
28;2;2026-06-18;B;false;0;0;5;7
29;2;2026-06-19;C;false;0;0;9;11
30;2;2026-06-19;C;false;0;0;12;10
31;2;2026-06-19;D;false;0;0;16;14
32;2;2026-06-19;D;false;0;0;13;15
33;2;2026-06-20;E;false;0;0;17;19
34;2;2026-06-20;E;false;0;0;20;18
35;2;2026-06-20;F;false;0;0;21;23
36;2;2026-06-20;F;false;0;0;24;22
37;2;2026-06-21;G;false;0;0;25;27
38;2;2026-06-21;G;false;0;0;28;26
39;2;2026-06-21;H;false;0;0;29;31
40;2;2026-06-21;H;false;0;0;32;30
41;2;2026-06-22;I;false;0;0;36;34
42;2;2026-06-22;I;false;0;0;33;35
43;2;2026-06-22;J;false;0;0;37;39
44;2;2026-06-22;J;false;0;0;40;38
45;2;2026-06-23;K;false;0;0;41;43
46;2;2026-06-23;K;false;0;0;44;42
47;2;2026-06-23;L;false;0;0;45;47
48;2;2026-06-23;L;false;0;0;48;46
49;3;2026-06-24;C;false;0;0;12;9
50;3;2026-06-24;C;false;0;0;10;11
51;3;2026-06-24;B;false;0;0;8;5
52;3;2026-06-24;B;false;0;0;6;7
53;3;2026-06-24;A;false;0;0;4;1
54;3;2026-06-24;A;false;0;0;2;3
55;3;2026-06-25;E;false;0;0;18;19
56;3;2026-06-25;E;false;0;0;20;17
57;3;2026-06-25;F;false;0;0;22;23
58;3;2026-06-25;F;false;0;0;24;21
59;3;2026-06-25;D;false;0;0;16;13
60;3;2026-06-25;D;false;0;0;14;15
61;3;2026-06-26;I;false;0;0;36;33
62;3;2026-06-26;I;false;0;0;34;35
63;3;2026-06-26;G;false;0;0;28;25
64;3;2026-06-26;G;false;0;0;26;27
65;3;2026-06-26;H;false;0;0;30;31
66;3;2026-06-26;H;false;0;0;32;29
67;3;2026-06-27;L;false;0;0;48;45
68;3;2026-06-27;L;false;0;0;46;47
69;3;2026-06-27;J;false;0;0;38;39
70;3;2026-06-27;J;false;0;0;40;37
71;3;2026-06-27;K;false;0;0;44;41
72;3;2026-06-27;K;false;0;0;42;43
