WorldCupTeamId;GroupCode;PositionOrder;Points;TeamId
1;A;1;0;15
2;A;2;0;60
3;A;3;0;25
4;A;4;0;41
5;B;1;0;30
6;B;2;0;64
7;B;3;0;55
8;B;4;0;19
9;C;1;0;6
10;C;2;0;7
11;C;3;0;81
12;C;4;0;43
13;D;1;0;16
14;D;2;0;40
15;D;3;0;27
16;D;4;0;22
17;E;1;0;10
18;E;2;0;83
19;E;3;0;33
20;E;4;0;24
21;F;1;0;8
22;F;2;0;18
23;F;3;0;38
24;F;4;0;46
25;G;1;0;9
26;G;2;0;29
27;G;3;0;20
28;G;4;0;85
29;H;1;0;2
30;H;2;0;68
31;H;3;0;61
32;H;4;0;17
33;I;1;0;3
34;I;2;0;14
35;I;3;0;56
36;I;4;0;31
37;J;1;0;1
38;J;2;0;28
39;J;3;0;23
40;J;4;0;63
41;K;1;0;5
42;K;2;0;45
43;K;3;0;50
44;K;4;0;13
45;L;1;0;4
46;L;2;0;11
47;L;3;0;73
48;L;4;0;34
